url_length,dot_count,has_ip,has_https,has_hyphen,keyword_count,entropy,has_form,has_password,external_links,urgency_words,response_code,has_hsts,has_x_frame_options,has_x_content_type_options,has_content_security_policy,has_x_xss_protection,label
34,2,0,1,0,0,3.777776811456786,0,0,4,0,200.0,1,0,0,1,0,0
25,1,0,1,0,0,4.373660689688186,0,0,103,0,200.0,1,1,1,1,0,1
45,2,0,1,1,0,4.333209418831506,0,0,0,0,404.0,1,0,1,0,0,1
127,5,0,1,0,0,5.286424822359345,0,0,1,0,429.0,1,1,1,1,1,0
24,2,0,1,0,0,3.6368421881310113,1,0,317,0,200.0,1,1,0,1,0,0
25,1,0,1,0,0,3.863465189601647,0,0,0,0,200.0,0,0,0,0,0,0
178,3,0,1,0,0,5.636219175746878,0,0,0,0,200.0,1,1,1,1,1,1
24,1,0,1,1,0,3.8553885422075336,1,0,92,0,200.0,0,0,0,0,0,0
173,2,0,1,0,0,5.623233141940409,0,0,0,0,200.0,1,1,1,1,1,1
65,3,0,1,1,0,4.694617620354637,1,1,2,0,200.0,0,0,0,0,0,1
28,2,0,0,0,0,3.797902689682947,0,0,29,0,200.0,0,0,0,0,0,0
22,1,0,1,0,0,3.936260027531527,0,0,4,1,200.0,0,0,0,0,0,1
64,2,0,1,0,0,4.458307960931275,0,0,0,0,200.0,0,0,0,0,0,1
75,2,0,1,1,0,4.868297356931778,0,0,0,0,200.0,1,1,0,0,0,1
21,1,0,1,0,0,3.8442328987631917,1,1,175,0,200.0,0,0,0,0,0,0
21,1,0,0,0,0,3.4992275417233567,0,0,17,0,200.0,1,1,1,1,0,0
26,2,0,1,0,0,3.690260390968384,0,0,0,0,200.0,1,0,0,0,0,1
30,2,0,1,0,0,4.1898980954642875,1,0,4,0,200.0,0,0,0,0,0,1
21,1,0,1,1,0,3.6130541857977945,0,0,0,0,200.0,0,0,0,0,0,1
175,2,0,1,0,0,5.617736613298128,0,0,0,0,200.0,1,1,1,1,1,1
27,1,0,1,0,0,3.7784235030301248,0,0,0,0,200.0,0,0,0,0,0,1
22,1,0,1,0,0,3.8453509366224363,0,0,4,1,200.0,0,0,0,0,0,1
54,2,0,1,0,0,4.726928705787044,0,0,0,0,200.0,1,0,0,0,0,1
20,1,0,1,0,0,3.6464393446710157,1,0,27,0,200.0,0,1,0,0,1,1
37,1,0,1,0,0,3.850948973561642,0,0,0,0,403.0,0,0,0,0,0,1
30,2,0,1,0,0,3.872905595320056,0,0,3,1,403.0,1,1,1,0,0,0
35,2,0,0,0,0,3.9328743603470455,0,0,14,0,404.0,0,1,1,1,1,0
40,2,0,1,1,0,4.081687083026442,0,0,1,0,200.0,0,0,0,0,0,1
76,2,0,1,1,0,4.844701159310767,0,0,0,0,200.0,1,1,0,0,0,1
23,1,0,1,0,0,3.936180434129755,1,0,2,0,403.0,0,1,0,0,0,1
75,2,0,1,1,0,4.812300944395514,0,0,0,0,200.0,1,1,0,0,0,1
175,2,0,1,0,0,5.467600814090318,0,0,0,0,200.0,1,1,1,1,1,1
21,1,0,1,1,0,3.8442328987631917,0,0,6,0,200.0,0,0,0,0,0,1
23,2,0,1,0,0,3.9690016298759927,0,0,0,0,200.0,0,0,0,0,0,1
25,2,0,1,0,0,3.9132696895151087,1,1,716,1,200.0,1,1,1,1,1,0
37,2,0,0,0,0,3.8614992310092955,0,0,3,0,200.0,0,0,0,0,0,1
24,2,0,1,0,0,3.486440501696144,0,0,78,0,200.0,1,1,1,0,1,0
26,2,0,0,0,0,4.026986833359287,0,0,1,0,200.0,0,0,0,0,0,0
205,3,0,1,0,0,5.550079507510932,0,0,0,0,200.0,1,1,1,1,1,1
22,1,0,1,0,0,4.027169118440618,0,0,3,1,200.0,0,0,0,0,0,1
27,2,0,1,0,0,3.782122224145305,1,0,79,0,200.0,0,0,0,0,0,0
22,1,0,0,0,0,3.629219686524097,0,0,0,0,200.0,1,0,1,0,1,0
37,2,0,1,0,0,4.046762824854521,0,0,1,0,200.0,1,1,1,0,1,1
24,2,0,0,0,0,3.720175521464345,0,0,27,0,200.0,0,1,1,0,0,0
34,2,0,0,0,0,4.02085512047121,0,0,0,0,200.0,0,0,0,0,0,0
22,1,0,1,0,0,4.0614821867207755,0,0,6,0,200.0,0,0,0,0,0,1
26,1,0,1,0,0,3.8441065448145384,0,0,3,1,403.0,1,1,1,0,0,0
75,2,0,1,1,0,4.807096150721338,0,0,0,0,200.0,1,1,0,0,0,1
59,2,0,1,1,0,4.996801311963699,0,0,1,0,200.0,1,0,1,0,0,1
47,4,0,0,0,0,3.9263053407631516,1,0,915,0,404.0,1,1,1,1,1,0
19,2,0,0,0,0,3.326360407952694,0,0,299,1,200.0,1,1,1,0,0,0
21,1,0,1,1,0,3.8442328987631917,0,0,6,0,200.0,0,0,0,0,0,1
30,3,0,1,0,0,3.631401845392172,1,0,306,0,200.0,1,0,1,1,1,0
22,1,0,1,0,0,4.152391277629866,0,0,6,0,200.0,0,0,0,0,0,1
131,2,0,1,0,0,5.193334643746145,0,0,0,0,200.0,1,1,1,1,1,1
22,1,0,1,0,0,3.936260027531527,0,0,3,1,200.0,0,0,0,0,0,1
29,2,0,1,0,0,4.1162646156680225,0,0,0,0,406.0,0,0,0,0,0,0
175,2,0,1,0,0,5.540976629752292,0,0,0,0,200.0,1,1,1,1,1,1
34,2,0,1,0,1,4.101881223476018,0,0,68,0,200.0,1,1,1,0,1,0
187,6,0,1,0,0,5.114597782288404,0,0,0,0,200.0,1,1,1,1,1,1
23,2,0,0,0,0,3.5013978254341027,0,0,18,0,200.0,0,0,0,0,0,0
77,4,0,1,1,0,4.643826970425706,0,0,0,0,403.0,0,0,0,0,0,1
23,2,0,1,0,0,3.8820451081368623,0,0,291,0,200.0,0,0,0,0,0,0
31,1,0,1,0,0,4.195816471537619,0,0,0,0,200.0,0,0,0,0,0,0
59,3,0,1,1,0,4.511560795301145,0,0,0,0,200.0,0,0,0,0,0,1
44,2,0,1,1,0,4.24615711897243,0,0,0,0,200.0,1,0,0,0,0,1
25,1,0,1,0,0,3.80307418942857,1,1,120,0,200.0,1,1,1,1,1,0
33,2,0,0,0,0,3.907734270742486,1,0,156,0,200.0,1,1,1,0,0,0
22,2,0,0,0,0,3.6635327548042547,1,0,384,0,200.0,0,1,1,1,1,0
27,2,0,1,0,0,3.930270372293453,0,0,0,0,200.0,0,1,0,1,0,1
175,2,0,1,0,0,5.621718704795384,0,0,0,0,200.0,1,1,1,1,1,1
36,1,0,1,0,0,4.141604167868593,1,0,252,0,200.0,0,0,0,0,0,1
28,2,0,1,0,0,3.770942421748537,0,0,0,0,200.0,0,0,0,0,0,0
25,1,0,1,0,0,3.7532696895151085,0,0,1,0,200.0,1,1,1,0,1,1
29,2,0,1,0,0,3.814371943179627,1,0,46,0,200.0,0,0,0,0,0,0
39,2,0,1,0,0,3.8972236166207708,0,0,205,0,200.0,0,1,1,1,1,0
46,3,0,1,0,0,4.32173124920605,0,0,0,0,200.0,0,1,1,1,1,1
23,2,0,1,0,0,4.0559581516151235,0,0,0,0,200.0,0,0,0,0,0,1
59,2,0,1,1,0,4.976135533169231,0,0,1,0,200.0,1,0,1,0,0,1
37,1,0,1,0,0,3.8924518533802863,1,0,40,0,200.0,0,0,0,0,0,0
62,3,0,1,1,0,4.625105536291584,1,1,2,0,200.0,0,0,0,0,0,1
53,2,0,1,0,0,4.094989559393683,0,0,1,0,404.0,0,0,0,0,0,1
27,2,0,0,0,0,3.7262046313924557,0,0,0,0,200.0,0,0,0,0,0,0
31,2,0,1,0,0,3.8646983261669607,0,0,0,0,200.0,1,0,0,0,0,1
22,1,0,1,0,0,3.936260027531527,0,0,3,1,200.0,0,0,0,0,0,1
31,2,0,1,1,0,3.977916874693636,1,0,2,0,403.0,0,1,0,0,0,1
31,2,0,1,0,0,4.106949132758152,0,0,0,0,403.0,0,0,0,0,0,0
22,1,0,1,0,0,4.0614821867207755,0,0,0,0,200.0,0,0,0,0,0,1
58,2,0,0,0,0,3.9360133341378374,1,0,785,0,404.0,1,1,1,0,0,0
48,3,0,0,0,0,4.222794209361695,0,0,163,0,200.0,0,0,0,0,0,0
31,2,0,1,0,0,4.103727665980414,1,0,2,0,200.0,0,0,0,0,0,1
44,3,0,1,1,0,4.135821824148036,0,0,0,0,410.0,0,0,0,0,0,1
40,2,0,1,0,0,4.239822782008756,0,0,0,0,200.0,1,0,0,0,0,1
178,3,0,1,0,0,5.533307081342429,0,0,0,0,200.0,1,1,1,1,1,1
32,3,0,1,0,0,3.9292292966721747,0,0,873,0,200.0,0,1,0,1,0,0
40,2,0,1,0,0,4.227567157116929,0,0,0,0,200.0,1,0,0,0,0,1
21,2,0,1,0,0,3.6537567082870015,1,0,151,0,200.0,1,1,1,0,1,0
25,2,0,1,0,0,3.7034651896016473,0,0,11,0,200.0,0,0,1,0,1,0
31,2,0,0,0,0,3.873235826376329,0,0,0,0,403.0,0,0,0,0,0,0
83,4,0,1,0,0,4.383781679573612,0,0,0,0,406.0,0,0,0,0,0,1
28,1,0,1,0,0,3.9852281360342516,0,0,36,0,200.0,0,0,0,0,0,0
48,2,0,1,0,0,4.4366413449135775,0,0,0,0,200.0,1,0,1,0,0,1
30,2,0,0,0,0,3.923231428797621,0,0,27,0,200.0,0,0,0,0,0,0
553,6,0,1,0,0,5.948609756254609,0,0,0,0,200.0,1,1,1,1,1,1
137,2,0,1,0,0,4.948653004454954,1,0,441,0,200.0,1,1,1,1,1,0
23,2,0,1,0,0,3.9690016298759927,0,0,0,0,200.0,0,0,0,0,0,1
26,2,0,1,0,0,4.132944044980959,1,0,6,0,200.0,0,0,0,0,0,1
25,2,0,1,0,0,3.493660689688186,0,0,1,1,403.0,0,1,0,0,0,0
55,3,0,0,0,0,4.078655340947486,0,0,0,0,200.0,0,0,0,0,0,0
22,1,0,1,0,0,3.8453509366224363,0,0,4,1,200.0,0,0,0,0,0,1
33,2,0,0,0,0,4.18788919491935,0,0,0,0,403.0,0,0,0,0,0,0
39,2,0,1,1,0,4.221049013623096,1,0,7,0,200.0,0,0,0,0,0,1
38,2,0,0,0,0,4.201231789474708,0,0,0,0,406.0,0,0,0,0,0,0
32,2,0,0,0,0,4.077819531114783,0,0,0,0,200.0,0,0,0,0,0,0
23,2,0,1,0,0,3.9690016298759927,0,0,0,0,200.0,0,0,0,0,0,1
21,2,0,0,0,0,3.6897037321995474,0,0,7,0,200.0,1,0,1,0,0,0
31,2,0,0,0,0,3.6955011488173954,1,0,759,0,200.0,1,1,1,1,1,0
34,2,0,0,0,0,4.054538856580817,0,0,0,0,403.0,0,1,1,0,0,0
24,2,0,1,0,0,3.688721875540867,0,0,35,0,200.0,0,0,0,0,0,0
33,2,0,1,0,0,4.12728313431329,0,0,2,0,404.0,0,0,0,0,0,1
33,2,0,1,0,0,4.233639952626227,1,0,2,0,200.0,0,0,0,0,0,1
19,2,0,1,0,0,3.471354487013929,0,0,99,0,200.0,0,1,0,0,0,0
84,2,0,1,0,0,5.095962030045652,0,0,3,0,403.0,1,0,1,1,1,1
64,4,0,1,1,1,4.677668898701708,0,0,0,0,200.0,0,0,0,0,0,1
23,2,0,1,0,0,3.8820451081368623,0,0,6,0,200.0,0,0,0,0,0,1
36,3,0,1,0,0,4.044110417748401,0,0,0,0,403.0,1,0,0,0,0,0
134,6,0,1,0,1,4.794462511432271,0,0,1,0,400.0,1,0,1,1,1,1
32,2,0,0,0,0,3.9414280318460246,0,0,0,0,200.0,0,0,0,0,0,0
29,2,0,1,0,0,3.9262723741395074,1,0,140,0,200.0,0,0,0,0,0,0
21,2,0,1,0,0,3.6897037321995474,0,0,43,0,200.0,0,0,0,0,0,0
40,3,0,0,0,0,4.146439344671016,0,0,210,0,200.0,0,0,0,0,0,0
21,2,0,1,0,0,3.6537567082870015,0,0,0,0,403.0,0,0,0,0,0,0
26,2,0,1,0,0,3.8441065448145384,0,0,0,0,403.0,0,1,1,0,0,0
32,2,0,1,0,0,4.116729296672175,1,0,2,0,200.0,0,0,0,0,0,1
28,2,0,1,0,0,3.9677201004744993,0,0,2,0,404.0,0,0,0,0,0,1
84,2,0,1,0,0,5.161862108061007,0,0,2,0,200.0,1,0,1,1,1,1
27,2,0,0,0,0,3.7541634277688805,0,0,0,0,403.0,0,0,0,0,0,0
21,2,0,1,0,0,3.8208888513501886,0,0,0,0,200.0,0,1,1,0,1,0
43,2,0,1,0,0,4.184774568998513,1,0,347,0,200.0,0,0,0,0,0,0
84,2,0,1,0,0,5.206022893115135,0,0,2,0,404.0,1,0,1,1,1,1
53,2,0,1,0,0,4.449157482660985,0,0,1,1,403.0,1,1,1,0,0,1
181,3,0,1,0,0,5.620479382415063,0,0,0,0,200.0,1,1,1,1,1,1
22,1,0,1,0,0,4.027169118440618,0,0,4,1,200.0,0,0,0,0,0,1
30,2,0,1,0,0,3.6280729963885094,1,0,34,0,200.0,0,0,1,0,1,0
36,2,0,1,1,0,4.141604167868593,0,0,30,0,200.0,1,0,0,0,0,1
175,2,0,1,0,0,5.557900593167628,0,0,0,0,200.0,1,1,1,1,1,1
85,3,0,0,0,0,4.978771844059526,0,0,0,0,204.0,0,0,0,0,0,1
41,2,0,0,0,0,4.1315846264110005,0,0,0,0,403.0,0,0,0,0,0,0
26,2,0,0,0,0,3.6902603909683847,0,0,0,0,503.0,0,0,0,0,0,0
53,2,0,0,0,0,4.411909021320663,0,0,9,0,403.0,0,1,1,0,0,0
47,2,0,1,0,0,4.404820766203004,0,0,0,0,200.0,0,0,0,0,0,1
26,1,0,0,0,0,3.921029621737615,0,0,3,0,200.0,0,0,0,0,0,0
45,2,0,1,1,0,4.38353525230907,1,0,1,0,200.0,1,0,1,0,0,1
45,2,0,1,1,0,4.038873585546249,0,0,0,0,200.0,1,0,0,0,0,1
38,2,0,1,1,0,3.955311316634013,0,0,0,0,410.0,0,0,0,0,0,1
42,2,0,0,0,0,4.041625614369223,0,0,3,0,200.0,0,0,0,0,0,0
27,1,0,1,0,0,4.060262039120377,1,0,35,0,200.0,0,0,1,0,1,0
67,2,0,1,1,0,4.573353840183969,0,0,0,0,200.0,1,1,1,1,0,1
32,3,0,1,0,0,3.98345859334435,0,0,401,1,200.0,1,1,1,0,0,0
26,2,0,1,0,0,3.7192945256669794,1,0,151,0,200.0,1,0,0,1,0,0
22,2,0,1,0,0,3.720128777433188,1,1,20,0,200.0,1,1,1,1,1,0
33,2,0,1,0,0,3.945464952495108,0,0,4,0,200.0,1,0,1,1,0,1
27,2,0,1,0,0,3.736006946447656,0,0,94,0,200.0,1,0,1,1,0,0
23,2,0,0,0,0,3.8492239123906247,0,0,0,0,200.0,0,0,0,0,0,0
20,1,0,1,0,0,3.3841837197791893,0,0,4,0,200.0,1,0,1,0,1,0
29,2,0,1,0,0,3.935398667466763,0,0,148,0,200.0,1,1,1,1,0,0
37,2,0,0,0,0,4.077715447225512,0,0,2,0,200.0,0,0,0,0,0,0
46,2,0,0,0,0,3.9140163035068447,1,0,51,0,404.0,0,0,0,0,0,0
38,2,0,1,0,0,4.273728829005325,1,0,9,0,200.0,0,0,0,0,0,1
22,1,0,1,0,0,3.970573095811685,0,0,6,0,200.0,0,0,0,0,0,1
41,2,0,0,1,0,4.064392248309453,1,0,95,0,200.0,0,1,1,0,1,0
34,2,0,0,0,0,4.219528282299547,0,0,0,0,406.0,0,0,0,0,0,1
43,2,0,1,0,0,4.388376603932547,0,0,115,0,200.0,1,0,0,0,0,0
17,1,0,1,0,0,3.528064311584049,0,0,8,0,200.0,0,0,0,0,0,0
190,3,0,1,0,0,5.591004982879803,0,0,0,0,200.0,1,1,1,1,1,1
37,2,0,1,0,0,4.100816878908575,1,0,135,0,200.0,1,0,0,0,0,0
54,3,0,0,0,0,4.3793194477654325,0,0,0,0,403.0,0,1,0,0,0,0
22,2,0,1,0,0,3.7544418457133455,0,0,0,0,403.0,0,0,0,1,0,0
35,2,0,1,1,0,4.357295873840569,0,0,0,0,200.0,1,0,0,0,0,1
51,3,0,1,0,0,4.500377547641743,0,0,0,0,200.0,0,0,0,0,0,1
15,1,0,1,0,0,3.323231428797621,0,0,129,2,200.0,1,1,0,0,0,0
30,2,0,0,0,0,3.847742678581274,1,0,40,0,200.0,0,0,0,0,0,0
57,2,0,1,0,1,4.435543689748171,1,1,6,0,200.0,1,1,1,1,1,1
28,1,0,1,0,1,3.9137995646056805,0,0,0,0,403.0,0,1,1,0,0,0
31,3,0,0,0,0,3.9292144551992187,1,0,250,0,200.0,0,1,0,1,0,0
27,2,0,1,0,0,4.032303242743952,0,0,245,0,200.0,0,1,0,0,0,0
26,2,0,1,0,0,3.8441065448145384,0,0,0,0,200.0,1,1,1,1,1,0
175,2,0,1,0,0,5.603829237666624,0,0,0,0,200.0,1,1,1,1,1,1
40,1,0,1,0,0,3.8561983328100955,1,0,119,0,200.0,0,0,0,1,0,0
19,2,0,0,0,0,3.2210972500579573,0,0,0,0,200.0,1,0,0,0,0,0
21,1,0,1,1,0,3.939470994001287,0,0,6,0,200.0,0,0,0,0,0,1
37,2,0,1,0,0,4.283381405994074,1,0,1,0,200.0,0,0,0,0,0,1
29,1,0,1,0,0,3.8833374604210062,1,0,30,0,200.0,0,1,1,0,1,1
30,1,0,1,0,0,4.081727678869736,1,0,154,0,200.0,0,0,0,1,0,0
24,2,0,1,0,0,3.7720552088742005,1,0,275,0,200.0,1,1,1,1,1,0
21,1,0,1,1,0,3.939470994001287,0,0,6,0,200.0,0,0,0,0,0,1
43,2,0,1,0,0,3.996405604577353,1,0,47,0,200.0,0,0,0,0,0,0
33,1,0,1,0,0,4.210764573772789,0,0,50,0,200.0,0,0,0,0,0,0
21,1,0,1,0,0,3.880179922675738,1,0,83,0,200.0,1,1,1,0,0,0
43,2,0,1,1,0,4.425810103338054,0,0,2,0,200.0,0,0,1,0,0,1
40,3,0,0,0,0,3.958694969562842,0,0,0,1,403.0,0,0,0,0,0,0
59,3,0,1,0,0,4.494671601701999,0,0,0,0,200.0,0,0,0,1,0,1
32,2,0,0,0,0,4.116729296672175,1,0,67,0,200.0,0,0,0,0,0,0
26,2,0,1,0,0,3.8441065448145384,0,0,6,0,403.0,1,0,1,0,0,0
21,2,0,1,0,0,3.7489948035250964,1,1,446,0,200.0,1,0,1,0,0,0
30,2,0,1,1,0,4.1898980954642875,0,0,0,0,200.0,1,0,0,0,0,1
44,2,0,1,0,0,4.319909675741442,0,0,0,0,200.0,1,1,0,0,0,1
27,2,0,0,0,0,3.574357762129127,0,0,0,0,403.0,0,1,1,0,0,0
40,3,0,1,0,0,4.077567157116929,1,0,229,0,200.0,1,1,1,1,1,0
31,2,0,1,0,0,3.8245334068819115,0,0,0,0,200.0,0,0,0,0,0,0
26,1,0,1,0,0,3.997952698660692,1,0,431,1,200.0,1,1,0,1,0,0
33,2,0,1,0,0,4.112427831414106,1,0,5,0,200.0,0,0,0,0,0,1
34,2,0,1,0,0,4.07674143017386,1,0,7,0,200.0,0,0,0,0,0,1
21,1,0,1,0,0,3.558518613048906,1,0,152,0,200.0,0,0,0,0,0,0
19,1,0,1,0,0,3.6818808028034025,0,0,0,0,200.0,0,0,0,0,0,1
76,2,0,1,1,0,4.853016086228521,0,0,0,0,200.0,1,1,0,0,0,1
22,1,0,1,0,0,3.720128777433188,0,0,262,0,200.0,0,0,0,0,0,0
43,2,0,1,0,0,4.137289825278364,1,0,4,0,200.0,0,0,0,0,0,1
83,3,0,1,0,0,4.856807281125903,1,1,50,0,200.0,0,0,0,0,0,1
175,2,0,1,0,0,5.533382540969761,0,0,0,0,200.0,1,1,1,1,1,1
23,2,0,1,0,0,4.0559581516151235,0,0,0,0,200.0,0,0,0,0,0,1
128,2,0,1,0,0,5.126735258896853,0,0,0,0,200.0,1,0,0,0,0,1
32,2,0,0,0,0,3.9292292966721747,0,0,915,1,200.0,0,0,1,0,1,0
28,2,0,1,0,0,3.9852281360342516,1,0,200,0,200.0,1,1,1,0,0,0
31,2,0,1,0,0,4.131300342505361,1,0,2,0,200.0,0,0,0,0,0,1
